,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,True,0.0,True,-inf
p-INTERGENIC216151,22.463552567227026,0.0,True,0.0,True,1.351478440186199
p-INTERGENIC393453,14.868003959117999,0.034,True,0.680665992143916,False,1.1722526680695635
p-INTERGENIC393453_p-INTERGENIC216151,10.806647600737932,0.148,False,0.9440354899775794,False,1.0336909895773854
p-INTERGENIC393453_p-sgE2F4-6,13.704294867473266,0.109,False,0.9005616107605111,False,1.136856694523919
p-INTERGENIC393453_p-sgE2F4-7,13.399369509268013,0.079,False,0.849349181864521,False,1.1270843636567636
p-INTERGENIC393453_p-sgELF1-2,16.038677321164897,0.031,True,0.6678515754923571,False,1.2051685499952196
p-INTERGENIC393453_p-sgELF1-4,11.078235494637426,0.166,False,0.9440354899775794,False,1.0444705928863556
p-INTERGENIC393453_p-sgELF1-5,10.258335626338976,0.226,False,0.9440354899775794,False,1.0110769039598493
p-INTERGENIC393453_p-sgGABPA-1,10.888875543274537,0.205,False,0.9440354899775794,False,1.036983033973864
p-INTERGENIC1144056,15.592726360477826,0.017,True,0.5455754139472083,False,1.1929220574461368
p-INTERGENIC1144056_p-INTERGENIC393453,16.21669010323069,0.022,True,0.607145347224842,False,1.2099622175329965
p-INTERGENIC1144056_p-sgELF1-2,10.15692604230486,0.24,False,0.9440354899775794,False,1.0067622901466042
p-INTERGENIC1144056_p-sgELF1-5,13.83177043153691,0.068,False,0.8462538033195836,False,1.1408777722594965
p-INTERGENIC1144056_p-sgGABPA-1,16.636190794538066,0.013,True,0.4869321682820929,False,1.221053892489957
p-INTERGENIC1216445,19.633767870046597,0.003,True,0.15992283072285668,False,1.2930036520271195
p-INTERGENIC1216445_p-sgELF1-2,11.010295075433987,0.181,False,0.9440354899775794,False,1.0417989582011349
p-sgCREB1-2,17.848545514550295,0.011,True,0.4373903680726165,False,1.2516028310509097
p-sgCREB1-2_p-INTERGENIC393453,6.013076648122393,0.841,False,0.9440354899775794,False,0.7790967397916897
p-sgCREB1-4,11.185846229169158,0.149,False,0.9440354899775794,False,1.0486688448257417
p-sgCREB1-4_p-INTERGENIC393453,10.612374369337061,0.169,False,0.9440354899775794,False,1.0258125620480874
p-sgCREB1-5,15.82459617079789,0.022,True,0.607145347224842,False,1.1993326360333505
p-sgCREB1-5_p-INTERGENIC216151,16.44320579949894,0.02,True,0.5889001384965046,False,1.2159864923588184
p-sgCREB1-5_p-INTERGENIC393453,21.406035290157206,0.004,True,0.20423966062558274,False,1.330536237072428
p-sgE2F4-6,15.617280455813017,0.034,True,0.680665992143916,False,1.1936054094476338
p-sgE2F4-6_p-INTERGENIC216151,14.782619148477494,0.033,True,0.6804784760987729,False,1.1697513881154367
p-sgE2F4-7,11.723236458072734,0.154,False,0.9440354899775794,False,1.0690475248086866
p-sgEGR1-2,12.714878214644528,0.08,False,0.849349181864521,False,1.1043122047821834
p-sgEGR1-3,15.963434604107988,0.025,True,0.6274539078073018,False,1.203126337461749
p-sgEGR1-4,16.963643106886536,0.014,True,0.5058648513637216,False,1.2295191268895194
p-sgELF1-1,15.083257509964966,0.017,True,0.5455754139472083,False,1.1784951456334989
p-sgELF1-1_p-INTERGENIC393453,13.840225076349327,0.046,True,0.748752848011488,False,1.1411431528824219
p-sgELF1-2,15.448669592309415,0.022,True,0.607145347224842,False,1.1888910848225378
p-sgELF1-2_p-INTERGENIC216151,16.14180707732416,0.008,True,0.35710215725699873,False,1.2079521524293713
p-sgELF1-4,8.287063584183443,0.429,False,0.9440354899775794,False,0.918400671069363
p-sgELF1-5,14.868695776555882,0.056,False,0.8008337068862461,False,1.172272875590807
p-sgELF1-5_p-sgELF1-2,13.239001858383403,0.067,False,0.8462538033195836,False,1.1218552431295863
p-sgELK1-1,17.554977870861904,0.009,True,0.3806962814179506,False,1.2444002863465924
p-sgELK1-1_p-INTERGENIC393453,9.36852444679161,0.359,False,0.9440354899775794,False,0.9716711944012457
p-sgELK1-6,9.80553776148119,0.239,False,0.9440354899775794,False,0.9914714165086047
p-sgELK1-6_p-sgELF1-2,11.122427449016328,0.182,False,0.9440354899775794,False,1.046199581550257
p-sgELK1-7,10.40694801351853,0.23,False,0.9440354899775794,False,1.0173233851086207
p-sgETS1-3,12.079845472120468,0.109,False,0.9005616107605111,False,1.082061378735889
p-sgETS1-3_p-INTERGENIC393453,16.918673009219987,0.02,True,0.5889001384965046,False,1.2283662968014972
p-sgETS1-5,15.547893219348367,0.029,True,0.6533491442156303,False,1.1916715492986278
p-sgETS1-5_p-INTERGENIC393453,16.886759405796738,0.015,True,0.5158955621603222,False,1.2275463158107758
p-sgGABPA-1,15.034797078985633,0.043,True,0.7439822531838282,False,1.1770975709086668
p-sgGABPA-9,14.845422552833867,0.045,True,0.748752848011488,False,1.1715925636533389
p-sgGABPA-9_p-INTERGENIC393453,8.75772207777328,0.346,False,0.9440354899775794,False,0.9423911589419
p-sgIRF1-2,18.76159247284312,0.014,True,0.5058648513637216,False,1.2732696982656537
p-sgIRF1-3,16.105219855379943,0.016,True,0.5314352363623822,False,1.2069666578316867
p-sgNR2C2-2,16.397278912185442,0.028,True,0.6503352907789447,False,1.2147717839335674
p-sgNR2C2-3,6.704608443075898,0.751,False,0.9440354899775794,False,0.8263734196258011
p-sgNR2C2-5,13.699722471717621,0.069,False,0.8462538033195836,False,1.1367117693299515
p-sgNR2C2-5_p-INTERGENIC393453,21.08574096858584,0.007,True,0.32522665957951713,False,1.3239888670494313
p-sgNR2C2-5_p-sgELF1-2,13.807647509426971,0.068,False,0.8462538033195836,False,1.140119691561691
p-sgNR2C2-5_p-sgELK1-6,12.851722962158703,0.091,False,0.8651529196733593,False,1.108961355122358
p-sgYY1-3,17.122379346167037,0.008,True,0.35710215725699873,False,1.233564114611619
p-sgYY1-3_p-INTERGENIC393453,16.60464228648965,0.026,True,0.6325143699155912,False,1.2202295240369625
p-sgYY1-10,8.69197888830891,0.411,False,0.9440354899775794,False,0.9391186628047135
